lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
pueblo	3	sí	563.403	23	347.958	39	362.433	51	575.033	40	624.222	29
oir	3	sí	5.0445	1	41.9335	7	30.5133	10	0	0	0	0
perfección	3	sí	0	0	1.4122	1	1.2931	1	3.4744	1	0	0
tranquila	3	no										
lindo	3	sí	118.109	11	181.155	29	153.542	34	3.4456	1	9.4714	1
increíble	3	sí	133.808	7	100.134	18	53.9127	12	50.0197	6	38.8023	3
funcionar	3	sí	111.567	7	107.744	17	91.0721	15	197.394	21	118.465	7
poner	3	sí	887.874	38	988.964	113	1128.38	171	1133.8	106	1210.02	80
cuidado	3	sí	31.4243	2	32.6249	6	21.0611	5	88.2809	10	143.298	11
demostrar	3	sí	21.3159	2	28.1512	5	65.6045	14	128.846	16	236.931	18
difícil	3	sí	237.08	13	233.589	28	310.854	51	204.689	25	196.62	14
ojalá	3	sí	0	0	1.9216	1	2.2836	1	3.4456	1	0	0
dormir	3	sí	587.353	28	582.882	68	461.229	66	254.952	24	255.591	21
bailar	3	sí	293.894	12	212.325	30	359.8	54	147.318	17	143.459	11
ja	3	sí	0	0	3.1564	1	0	0	10.3369	1	0	0
orgulloso	3	sí	46.5183	4	16.442	4	0.7224	1	6.8912	2	58.8744	3
papá	3	sí	267.686	10	96.5206	12	75.475	11	42.6999	4	38.8023	3
servir	3	sí	44.4532	3	195.014	25	317.98	46	364.354	34	322.142	23
precioso	3	sí	343.923	17	110.656	17	66.0611	13	51.2554	7	37.8856	3
quieres	3	no										
rápido	3	sí	179.094	10	68.3121	15	158.042	28	132.237	14	157.61	9
brillar	3	sí	21.452	2	11.6688	3	29.5213	7	3.4456	1	25.5235	3
monte	3	sí	5.0445	1	44.0715	5	29.2975	7	3.4744	1	28.4142	3
palma	3	sí	37.902	3	5.8831	2	3.0683	2	15.207	3	9.4714	1
dar	3	sí	1202.33	50	1600.47	171	1926.6	253	1836.33	172	1990.97	138
abrelos	3	no										
parte	3	sí	408.846	20	523.08	57	492.729	76	868.186	73	846.401	44
malo	3	sí	148.195	8	214.511	30	203.221	33	251.657	26	274.464	19
serio	3	sí	134.427	8	206.816	24	119.973	21	93.089	10	64.8818	5
camino	3	sí	471.391	19	169.845	21	139.046	22	127.086	13	156.3	12
anoche	3	sí	0	0	29.6518	4	51.5759	10	10.3369	2	18.9428	2
rata	3	sí	0	0	2.9415	1	0	0	0	0	9.4714	1
tic	3	sí	0	0	1.0067	1	0	0	6.9489	1	0	0
ayudo	3	no										
duro	3	sí	21.359	2	143.386	18	120.946	27	112.574	12	71.7298	6
nerviosa	3	no										
empeorar	3	sí	0	0	0.1104	1	0	0	3.4456	1	0	0
dáselir	3	no										
cargar	3	sí	7.1507	1	6.9008	2	25.2096	5	56.4843	7	65.54	3
empezar	3	sí	742.044	30	1310.6	135	983.045	147	1106.97	94	587.739	42
ten	3	no										
prohibido	3	no										
shu	3	no										
provocar	3	sí	12.0516	3	3.4869	2	50.7297	11	217.612	22	210.626	16
llover	3	sí	186.915	9	77.1647	11	23.1298	7	22.4166	4	56.8283	4
miedo	3	sí	7.1507	1	162.525	20	324	42	223.562	22	259.763	14
cielo	3	sí	59.3173	5	139.806	20	78.2821	14	56.4472	6	179.451	10
familiar	3	sí	258.875	8	144.384	19	136.993	20	75.4049	10	288.729	15
madera	3	sí	71.6952	5	101.154	14	90.4147	18	132.013	8	61.1128	5
has	3	no										
hernando	3	no										
gratis	3	sí	0	0	38.6816	8	1.2931	1	3.4456	1	8.5078	1
acabar	3	sí	42.2053	3	191.523	29	276.349	56	496.901	51	316.083	23
mala	3	no										
parar	3	sí	79.9912	5	16.6624	5	78.9758	15	91.8004	11	34.0313	3
alumbrar	3	sí	0	0	0	0	0.7224	1	0	0	9.4714	1
surgir	3	sí	0	0	1.3169	1	68.3588	14	105.995	16	129.764	9
creer	3	sí	545.077	25	1118.14	112	1067.94	167	1158.28	99	853.607	51
faltar	3	sí	35.7751	3	113.587	16	190.862	32	166.344	18	89.1746	7
bebé	2	sí	46.5183	3	34.2236	7	49.9578	11	2.2844	1	76.2506	6
escapar	2	sí	23.6015	2	22.0786	5	13.6646	4	52.7757	8	118.465	8
unir	2	sí	32.3886	3	66.0683	9	91.0635	22	41.2852	8	116.407	9
oscuro	2	sí	44.6364	3	34.7733	6	88.6495	17	30.1751	5	37.8856	4
apagar	2	sí	0	0	59.2397	9	73.1831	13	5.2232	2	0	0
lugar	2	sí	1333.27	46	739.826	79	532.494	76	819.555	71	725.437	45
maravilloso	2	sí	208.641	12	214.686	30	137.318	21	42.8105	5	18.9428	2
hijo	2	sí	741.506	29	359.674	44	565.715	73	792.919	57	652.786	30
darte	2	no										
primo	2	sí	100.121	5	92.4082	12	39.405	9	29.6093	3	8.5078	1
averiguar	2	sí	0	0	8.4704	3	0.4332	1	2.2844	1	9.4714	1
formar	2	sí	131.638	8	158.564	23	239.492	42	334.027	35	315.939	24
paz	2	sí	43.1073	3	161.327	18	83.5732	19	38.943	5	38.8023	3
música	2	sí	1036.02	29	531.706	57	601.504	64	158.712	15	249.635	15
constelación	2	no										
olvidar	2	sí	86.1596	5	150.372	22	323.207	53	201.788	20	259.763	19
cuidar	2	sí	133.288	7	115.394	16	120.229	22	179.973	18	144.205	10
aprendo	2	no										
deberiar	2	no										
café	2	sí	416.432	17	353.247	40	732.571	48	41.5765	6	131.641	10
humor	2	sí	94.756	7	81.6751	12	116.737	19	17.5597	3	77.6046	5
